dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7360000610351562,0.5172453593686223,0.0,0.7733333706855774,1550.0672986507416
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7360000610351562,0.5172453593686223,0.03,0.79,1550.0672986507416
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7360000610351562,0.5172453593686223,0.05,0.78,1550.0672986507416
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7360000610351562,0.5172453593686223,0.1,0.78,1550.0672986507416
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7420000433921814,0.4127346180232242,0.0,0.7566666603088379,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7420000433921814,0.4127346180232242,0.03,0.77,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7420000433921814,0.4127346180232242,0.05,0.78,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7420000433921814,0.4127346180232242,0.1,0.75,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.43687372438199823,0.0,0.7599999904632568,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.43687372438199823,0.03,0.74,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.43687372438199823,0.05,0.75,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.43687372438199823,0.1,0.74,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7300000190734863,0.42491758431866766,0.0,0.8066666722297668,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7300000190734863,0.42491758431866766,0.03,0.79,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7300000190734863,0.42491758431866766,0.05,0.79,0.0
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7300000190734863,0.42491758431866766,0.1,0.76,0.0
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.4909454702734947,0.0,0.746666669845581,1590.4313914775848
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.4909454702734947,0.03,0.7,1590.4313914775848
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.4909454702734947,0.05,0.71,1590.4313914775848
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7760000228881836,0.4909454702734947,0.1,0.71,1590.4313914775848
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7860000133514404,0.3995695523109287,0.0,0.746666669845581,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7860000133514404,0.3995695523109287,0.03,0.7,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7860000133514404,0.3995695523109287,0.05,0.71,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7860000133514404,0.3995695523109287,0.1,0.72,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7760000228881836,0.4052139615703374,0.0,0.7433333396911621,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7760000228881836,0.4052139615703374,0.03,0.7,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7760000228881836,0.4052139615703374,0.05,0.74,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7760000228881836,0.4052139615703374,0.1,0.71,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7740000486373901,0.4079298144035042,0.0,0.7599999904632568,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7740000486373901,0.4079298144035042,0.03,0.7,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7740000486373901,0.4079298144035042,0.05,0.7,0.0
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7740000486373901,0.4079298144035042,0.1,0.7,0.0
