dataset,n_qubits,run_type,target_sparsity,noise_level,n_seeds,val_acc_mean,val_acc_std,val_acc_ci95
fashionmnist,4,no_pruning,,0.0,3,0.6577778061230978,0.015030818174890728,0.017008971962050423
fashionmnist,4,no_pruning,,0.03,3,0.6733333333333333,0.05033222956847166,0.05695627952893146
fashionmnist,4,no_pruning,,0.05,3,0.6633333333333333,0.04041451884327379,0.04573333333333331
fashionmnist,4,no_pruning,,0.1,3,0.6533333333333333,0.04509249752822892,0.05102696454925678
fashionmnist,4,pruned,0.1,0.0,3,0.6577778061230978,0.015030818174890728,0.017008971962050423
fashionmnist,4,pruned,0.1,0.03,3,0.6733333333333333,0.05033222956847166,0.05695627952893146
fashionmnist,4,pruned,0.1,0.05,3,0.6633333333333333,0.04041451884327379,0.04573333333333331
fashionmnist,4,pruned,0.1,0.1,3,0.6533333333333333,0.04509249752822892,0.05102696454925678
fashionmnist,4,pruned,0.25,0.0,3,0.5822222232818604,0.07784126074775292,0.088085678779679
fashionmnist,4,pruned,0.25,0.03,3,0.6033333333333333,0.11060440015358038,0.12516066119636438
fashionmnist,4,pruned,0.25,0.05,3,0.6,0.10999999999999999,0.1244767180372833
fashionmnist,4,pruned,0.25,0.1,3,0.59,0.11135528725660043,0.1260103699436413
fashionmnist,4,pruned,0.4,0.0,3,0.518888900677363,0.12894154347077577,0.14591109227185334
fashionmnist,4,pruned,0.4,0.03,3,0.5466666666666667,0.146401275039985,0.16566863848591798
fashionmnist,4,pruned,0.4,0.05,3,0.5366666666666666,0.15567059238447487,0.17615785849944673
fashionmnist,4,pruned,0.4,0.1,3,0.5233333333333333,0.1594783161854091,0.18046670360792624
mnist,4,no_pruning,,0.0,3,0.9311111370722452,0.019531566204767835,0.022102047811794708
mnist,4,no_pruning,,0.03,3,0.9166666666666666,0.047258156262526066,0.053477638109566655
mnist,4,no_pruning,,0.05,3,0.91,0.05567764362830021,0.06300518497182063
mnist,4,no_pruning,,0.1,3,0.8933333333333332,0.05033222956847166,0.05695627952893146
mnist,4,pruned,0.1,0.0,3,0.9311111370722452,0.019531566204767835,0.022102047811794708
mnist,4,pruned,0.1,0.03,3,0.9166666666666666,0.047258156262526066,0.053477638109566655
mnist,4,pruned,0.1,0.05,3,0.91,0.05567764362830021,0.06300518497182063
mnist,4,pruned,0.1,0.1,3,0.8933333333333332,0.05033222956847166,0.05695627952893146
mnist,4,pruned,0.25,0.0,3,0.8655555844306946,0.07151793383992933,0.08093016077456333
mnist,4,pruned,0.25,0.03,3,0.8066666666666666,0.15373136743466942,0.17396341888773947
mnist,4,pruned,0.25,0.05,3,0.7799999999999999,0.15874507866387544,0.17963696724226894
mnist,4,pruned,0.25,0.1,3,0.75,0.18734993995195195,0.2120064149972826
mnist,4,pruned,0.4,0.0,3,0.5611111223697662,0.2691619399222938,0.3045854082006869
mnist,4,pruned,0.4,0.03,3,0.5833333333333334,0.21571586249817915,0.24410547811232022
mnist,4,pruned,0.4,0.05,3,0.5833333333333334,0.21571586249817915,0.24410547811232022
mnist,4,pruned,0.4,0.1,3,0.6,0.16522711641858306,0.18697208347772137
