dataset,n_qubits,target_sparsity,noise_level,n_seeds,accuracy_gap_mean,accuracy_gap_std,accuracy_gap_ci95
fashionmnist,4,0.1,0.0,3,0.0,0.0,0.0
fashionmnist,4,0.1,0.03,3,0.0,0.0,0.0
fashionmnist,4,0.1,0.05,3,0.0,0.0,0.0
fashionmnist,4,0.1,0.1,3,0.0,0.0,0.0
fashionmnist,4,0.25,0.0,3,0.07555558284123738,0.06834013253142368,0.07733414007040545
fashionmnist,4,0.25,0.03,3,0.07000000000000002,0.062449979983983994,0.07066880499909421
fashionmnist,4,0.25,0.05,3,0.06333333333333335,0.07023769168568493,0.07948143039589674
fashionmnist,4,0.25,0.1,3,0.06333333333333335,0.06658328118479394,0.07534607561851588
fashionmnist,4,0.4,0.0,3,0.13888890544573465,0.11413117636959405,0.12915158418383102
fashionmnist,4,0.4,0.03,3,0.12666666666666668,0.14153915830374766,0.16016663544918186
fashionmnist,4,0.4,0.05,3,0.12666666666666668,0.14189197769195175,0.16056588817194156
fashionmnist,4,0.4,0.1,3,0.13,0.13,0.14710884858951667
mnist,4,0.1,0.0,3,0.0,0.0,0.0
mnist,4,0.1,0.03,3,0.0,0.0,0.0
mnist,4,0.1,0.05,3,0.0,0.0,0.0
mnist,4,0.1,0.1,3,0.0,0.0,0.0
mnist,4,0.25,0.0,3,0.0655555526415507,0.09051295842355746,0.102425054585541
mnist,4,0.25,0.03,3,0.10999999999999999,0.19924858845171273,0.22547100330936864
mnist,4,0.25,0.05,3,0.13,0.2080865204668481,0.23547206486828398
mnist,4,0.25,0.1,3,0.14333333333333328,0.22278539748675924,0.25210541005257653
mnist,4,0.4,0.0,3,0.37000001470247906,0.276425602800085,0.312805016527566
mnist,4,0.4,0.03,3,0.3333333333333333,0.2285461295522926,0.2586242920617559
mnist,4,0.4,0.05,3,0.32666666666666666,0.2236813209307682,0.2531192428700574
mnist,4,0.4,0.1,3,0.2933333333333333,0.17156145643277027,0.19414006398588737
