dataset,n_qubits,run_type,target_sparsity,noise_level,n_seeds,val_acc_mean,val_acc_std,val_acc_ci95
fashionmnist,4,no_pruning,,0.0,3,0.6777777870496114,0.02457035922063043,0.027803978879828894
fashionmnist,4,no_pruning,,0.03,3,0.7233333333333333,0.025166114784235857,0.028478139764465765
fashionmnist,4,no_pruning,,0.05,3,0.7066666666666667,0.020816659994661344,0.023556268333031417
fashionmnist,4,no_pruning,,0.1,3,0.69,0.019999999999999962,0.022632130552233287
fashionmnist,4,pruned,0.1,0.0,3,0.6711111267407736,0.02009236008288632,0.022736645824918245
fashionmnist,4,pruned,0.1,0.03,3,0.7166666666666668,0.032145502536643146,0.03637606050382276
fashionmnist,4,pruned,0.1,0.05,3,0.7133333333333334,0.03785938897200179,0.042841931692106365
fashionmnist,4,pruned,0.1,0.1,3,0.7066666666666667,0.032145502536643146,0.03637606050382276
fashionmnist,4,pruned,0.25,0.0,3,0.6688889066378275,0.016777393855972347,0.018985408403730173
fashionmnist,4,pruned,0.25,0.03,3,0.7266666666666666,0.03214550253664321,0.03637606050382284
fashionmnist,4,pruned,0.25,0.05,3,0.7200000000000001,0.02645751311064593,0.02993949454037818
fashionmnist,4,pruned,0.25,0.1,3,0.7033333333333335,0.03785938897200179,0.042841931692106365
fashionmnist,4,pruned,0.4,0.0,3,0.644444465637207,0.02143034858079493,0.024250722343020958
fashionmnist,4,pruned,0.4,0.03,3,0.6966666666666667,0.011547005383792525,0.013066666666666676
fashionmnist,4,pruned,0.4,0.05,3,0.6933333333333334,0.015275252316519432,0.01728557523228862
fashionmnist,4,pruned,0.4,0.1,3,0.6766666666666667,0.005773502691896262,0.006533333333333338
mnist,4,no_pruning,,0.0,3,0.9366666873296102,0.012018525852519748,0.013600242306980915
mnist,4,no_pruning,,0.03,3,0.93,0.04582575694955838,0.05185672569686596
mnist,4,no_pruning,,0.05,3,0.92,0.04582575694955838,0.05185672569686596
mnist,4,no_pruning,,0.1,3,0.8833333333333333,0.04932882862316246,0.05582082446940785
mnist,4,pruned,0.1,0.0,3,0.8288889129956564,0.03024590865783871,0.0342264676707565
mnist,4,pruned,0.1,0.03,3,0.7799999999999999,0.04999999999999999,0.056580326380583315
mnist,4,pruned,0.1,0.05,3,0.7566666666666667,0.08082903768654756,0.09146666666666661
mnist,4,pruned,0.1,0.1,3,0.7333333333333334,0.10598742063723096,0.11993605703781401
mnist,4,pruned,0.25,0.0,3,0.8855555852254232,0.04438884461429686,0.05023070631867829
mnist,4,pruned,0.25,0.03,3,0.85,0.05196152422706637,0.05880000000000006
mnist,4,pruned,0.25,0.05,3,0.8300000000000001,0.06999999999999999,0.07921245693281666
mnist,4,pruned,0.25,0.1,3,0.7799999999999999,0.09539392014169458,0.10794838272680762
mnist,4,pruned,0.4,0.0,3,0.9277778069178263,0.035013221887371694,0.039621190440465484
mnist,4,pruned,0.4,0.03,3,0.93,0.03605551275463986,0.04080065358953617
mnist,4,pruned,0.4,0.05,3,0.9166666666666666,0.04163331998932265,0.047112536666062785
mnist,4,pruned,0.4,0.1,3,0.9033333333333333,0.04509249752822892,0.05102696454925678
