dataset,n_qubits,target_sparsity,noise_level,n_seeds,accuracy_gap_mean,accuracy_gap_std,accuracy_gap_ci95
fashionmnist,4,0.1,0.0,3,0.006666660308837891,0.006666660308837891,0.007544036322850565
fashionmnist,4,0.1,0.03,3,0.006666666666666636,0.03511884584284244,0.03974071519794834
fashionmnist,4,0.1,0.05,3,-0.00666666666666671,0.04041451884327379,0.04573333333333331
fashionmnist,4,0.1,0.1,3,-0.01666666666666668,0.01527525231651948,0.017285575232288675
fashionmnist,4,0.25,0.0,3,0.008888880411783854,0.01170627078363372,0.013246892432749655
fashionmnist,4,0.25,0.03,3,-0.003333333333333336,0.03511884584284249,0.039740715197948404
fashionmnist,4,0.25,0.05,3,-0.013333333333333345,0.03214550253664321,0.03637606050382284
fashionmnist,4,0.25,0.1,3,-0.013333333333333345,0.025166114784235853,0.02847813976446576
fashionmnist,4,0.4,0.0,3,0.03333332141240438,0.03929940820766429,0.04447146685906841
fashionmnist,4,0.4,0.03,3,0.02666666666666669,0.01527525231651948,0.017285575232288675
fashionmnist,4,0.4,0.05,3,0.013333333333333308,0.005773502691896294,0.006533333333333375
fashionmnist,4,0.4,0.1,3,0.013333333333333272,0.025166114784235805,0.028478139764465702
mnist,4,0.1,0.0,3,0.10777777433395386,0.03421067654690814,0.0387130248944926
mnist,4,0.1,0.03,3,0.15,0.05567764362830021,0.06300518497182063
mnist,4,0.1,0.05,3,0.16333333333333333,0.06806859285554046,0.07702686400067042
mnist,4,0.1,0.1,3,0.15,0.07810249675906655,0.08838129515532875
mnist,4,0.25,0.0,3,0.05111110210418701,0.039487435261484426,0.044684239500538875
mnist,4,0.25,0.03,3,0.08,0.034641016151377546,0.0392
mnist,4,0.25,0.05,3,0.08999999999999997,0.02645751311064593,0.02993949454037818
mnist,4,0.25,0.1,3,0.10333333333333332,0.05859465277082321,0.06630609155860256
mnist,4,0.4,0.0,3,0.008888880411783854,0.04670634736024827,0.052853207553754875
mnist,4,0.4,0.03,3,0.0,0.07999999999999996,0.09052852220893327
mnist,4,0.4,0.05,3,0.003333333333333336,0.08736894948054101,0.09886727354275414
mnist,4,0.4,0.1,3,-0.020000000000000018,0.08888194417315586,0.1005793882131589
