dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7420000433921814,0.517928987942636,0.0,0.7633333802223206,775.1404118537903
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7420000433921814,0.517928987942636,0.03,0.77,775.1404118537903
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7420000433921814,0.517928987942636,0.05,0.77,775.1404118537903
mnist,4,0,no_pruning,dense,,0.0,24,24,0.7420000433921814,0.517928987942636,0.1,0.76,775.1404118537903
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7360000610351562,0.4181741803338752,0.0,0.753333330154419,924.062822341919
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7360000610351562,0.4181741803338752,0.03,0.75,924.062822341919
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7360000610351562,0.4181741803338752,0.05,0.75,924.062822341919
mnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7360000610351562,0.4181741803338752,0.1,0.78,924.062822341919
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7380000352859497,0.4211855243943632,0.0,0.7766667008399963,1084.3590326309204
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7380000352859497,0.4211855243943632,0.03,0.78,1084.3590326309204
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7380000352859497,0.4211855243943632,0.05,0.78,1084.3590326309204
mnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7380000352859497,0.4211855243943632,0.1,0.76,1084.3590326309204
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4424147906959057,0.0,0.746666669845581,913.4722435474396
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4424147906959057,0.03,0.77,913.4722435474396
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4424147906959057,0.05,0.76,913.4722435474396
mnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7460000514984131,0.4424147906959057,0.1,0.78,913.4722435474396
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7820000648498535,0.49433741813898086,0.0,0.753333330154419,777.5196914672852
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7820000648498535,0.49433741813898086,0.03,0.7,777.5196914672852
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7820000648498535,0.49433741813898086,0.05,0.7,777.5196914672852
mnist,4,1,no_pruning,dense,,0.0,24,24,0.7820000648498535,0.49433741813898086,0.1,0.68,777.5196914672852
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7900000214576721,0.4059472698360682,0.0,0.7433333396911621,917.5437760353088
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7900000214576721,0.4059472698360682,0.03,0.69,917.5437760353088
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7900000214576721,0.4059472698360682,0.05,0.68,917.5437760353088
mnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7900000214576721,0.4059472698360682,0.1,0.7,917.5437760353088
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7800000309944153,0.40977778479084376,0.0,0.746666669845581,912.8797426223755
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7800000309944153,0.40977778479084376,0.03,0.68,912.8797426223755
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7800000309944153,0.40977778479084376,0.05,0.68,912.8797426223755
mnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7800000309944153,0.40977778479084376,0.1,0.68,912.8797426223755
mnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7660000324249268,0.4009882727650926,0.0,0.746666669845581,1040.0174696445465
